"ID","CustomerCode","ProductCode","Month","BudgetQuantity","BudgetNetValue","BudgetMarginPercent"
56,"3207","00049","201101",1291,1656.1501,0.080719
57,"4803","00049","201101",275,352.3745,0.059408
58,"0400","00049","201101",851,1065.7051,0.050784
59,"3603","00042","201101",218,419.3225,0.021098
60,"3201","00049","201101",1346,1317.3581,0.109542
62,"0407","00049","201101",137,177.7099,0.008728
63,"3603","00049","201101",686,880.9324,0.148518
64,"1207","00049","201101",330,377.2918,0.016411
65,"0900","00049","201101",1950,2277.2387,0.101236
66,"1804","00049","201101",275,364.5332,0.018993
67,"1804","00042","201101",313,690.4287,0.017474
68,"5403","00029","201101",687,579.2646,0.084781
69,"1300","00042","201101",177,390.3887,0.009527
70,"0900","00042","201101",1274,2640.369,0.052946
71,"1501","00049","201101",165,187.2228,0.017699
72,"1720","00042","201101",218,429.4441,0.007031
74,"3205","00042","201101",1253,1952.0188,-0.007438
75,"7500","00049","201101",934,1196.9294,0.058287
76,"3403","00049","201101",220,211.4292,0.025061
77,"8405","00049","201101",330,422.8433,0.017965
78,"3104","00049","201101",165,215.4391,0.011082
79,"1902","00049","201101",467,462.7166,0.038944
80,"0606","00042","201101",368,531.9251,-0.006093
81,"3501","00029","201101",291,296.2534,0.031336
82,"3604","00049","201101",1483,1497.6161,0.057511
83,"1305","00042","201101",191,331.8357,0.002192
85,"0014","00049","201101",220,281.8981,0.03692
86,"3308","00049","201101",247,317.1363,0.016046
87,"0611","00049","201101",165,211.0647,0.027602
88,"2702","00042","201101",272,392.8612,0.006208
89,"0044","00049","201101",2161,2353.3983,0.009144
90,"2406","00041","201101",313,511.4937,0.019408
91,"1303","00042","201101",340,761.2723,0.066725
92,"7703","00049","201101",192,211.4216,0.030351
93,"2900","00049","201101",137,132.1433,0.004528
94,"7902","00049","201101",1373,1259.2465,0.097726
95,"0615","00049","201101",604,773.9039,0.101207
97,"7520","00022","201101",127,196.9599,0.006794
98,"1722","00049","201101",137,177.7099,0.104918
99,"0616","00042","201101",821,1426.0431,0.023449
100,"1306","00049","201101",412,538.5977,0.027705
101,"1100","00042","201101",1607,3278.8342,0.062123
102,"0809","00042","201101",136,285.5731,0.006201
103,"2703","00042","201101",517,1053.4349,0.068422
104,"3403","00041","201101",123,183.0018,0.019847
105,"3405","00049","201101",714,914.6137,0.046208
106,"1708","00049","201101",577,682.9073,0.03198
108,"3205","00029","201101",229,228.6651,0.011886
109,"3205","00041","201101",163,244.0023,0.007942
110,"0607","00042","201101",390,682.3029,0.004582
111,"1103","00042","201101",1054,2171.6585,0.147507
112,"7704","00049","201101",220,282.8777,0.014357
113,"8100","00049","201101",330,422.8433,0.020609
114,"1712","00049","201101",357,487.5631,0.067296
115,"1714","00049","201101",220,284.3359,0.037524
116,"0800","00042","201101",204,471.7379,0.012951
117,"1720","01040","201101",247,347.0204,0.009958
118,"6024","00049","201101",165,211.4216,0.123872
119,"0600","00049","201101",384,437.0753,0.018861
121,"3307","00042","201101",381,574.3996,-0.003993
122,"0702","00049","201101",330,357.437,0.032586
123,"0702","00042","201101",119,202.5357,0.007775
124,"3902","00049","201101",549,527.639,0.043049
125,"3002","00029","201101",412,293.7504,0.023551
126,"0005","00049","201101",494,634.2725,0.032093
127,"8605","00029","201101",412,399.5558,0.017008
128,"1104","00029","201101",676,722.1727,0.039622
129,"3200","00029","201101",137,142.9081,0.007396
130,"3200","00049","201101",522,634.2269,0.02938
131,"3200","00041","201101",381,650.5826,0.025327
133,"3701","00049","201101",851,825.2158,0.067944
134,"3701","00029","201101",550,461.1881,0.042899
135,"3201","00041","201101",1184,1658.699,0.118834
136,"1101","00042","201101",204,316.4716,0.00826
137,"1101","00049","201101",741,715.9011,0.058708
138,"0052","00042","201101",2450,4580.5658,0.021098
139,"0615","00042","201101",1632,2723.2319,0.019593
140,"0400","00042","201101",422,736.3373,0.004817
141,"3202","00041","201101",790,1047.6239,0.069619
142,"3202","00042","201101",436,523.815,-0.007358
144,"1201","00019","201101",156,187.7994,0.013663
145,"0901","00042","201101",762,1237.4947,0.040079
146,"1104","00042","201101",967,1956.8988,0.037283
147,"3200","00042","201101",218,433.7819,0.00743
148,"0037","00049","201101",220,303.041,0.132782
149,"0901","00049","201101",879,890.7924,0.076579
150,"0800","00049","201101",137,179.5326,0.008896
151,"7004","00049","201101",632,800.6971,0.040074
152,"3801","00049","201101",961,991.4561,0.086595
153,"5401","00041","201101",613,825.0086,0.05603
154,"1717","00042","201101",613,1058.9702,0.006079
156,"3704","00049","201101",522,589.6324,0.026234
157,"1703","00019","201101",184,280.1188,0.040088
158,"1713","00019","201101",255,355.0126,0.034936
159,"3403","00029","201101",137,142.9081,0.025585
160,"1203","00042","201101",526,927.2014,0.023565
161,"1403","00042","201101",286,533.1752,0.022223
162,"1713","00042","201101",1184,2117.9102,0.049031
163,"1703","00042","201101",250,502.0122,0.031028
164,"1404","00042","201101",204,467.6712,0.013057
165,"3804","00042","201101",408,786.2298,0.011872
167,"1703","00049","201101",192,213.2291,0.030926
168,"1206","00049","201101",165,215.4391,0.011082
169,"2200","00049","201101",1593,2304.571,0.123647
170,"5102","00049","201101",1565,1337.5948,0.09521
171,"1102","00042","201101",431,732.4619,0.028057
172,"1102","00049","201101",330,289.3477,0.021325
173,"2902","00042","201101",300,352.1201,-0.006379
174,"2902","00049","201101",165,127.6561,0.007849
175,"7005","00049","201101",686,800.6971,0.036897
176,"0615","00019","201101",170,198.6716,0.013815
177,"1718","00042","201101",272,506.0789,0.016018
178,"1902","00042","201101",517,703.2095,0.004661
180,"1104","00049","201101",2334,2911.8377,0.143577
181,"2202","00029","201101",275,253.1088,0.025174
182,"1801","00019","201101",142,159.029,0.010473
183,"0602","00042","201101",1376,1782.6443,-0.002119
184,"1807","00042","201101",717,1041.0466,-0.011132
185,"3004","00042","201101",626,1129.6405,0.010954
186,"1403","00049","201101",796,945.9484,0.14808
187,"1801","00049","201101",357,404.9779,0.038236
188,"2202","00049","201101",1455,1656.6616,0.156809
189,"3004","00688","201101",136,180.7425,-0.000426
190,"2904","00033","201101",210,614.2555,0.000483
192,"1710","00042","201101",204,414.804,0.007714
193,"0200","00042","201101",277,394.0035,-0.005027
194,"2800","00049","201101",769,927.3724,0.042626
195,"2904","00049","201101",439,410.0846,0.01382
196,"2804","00049","201101",330,507.4302,0.029487
197,"5102","00050","201101",137,106.3801,0.006219
198,"5404","00042","201101",123,238.309,0.003795
199,"2006","00042","201101",361,730.8322,0.013958
200,"1726","00042","201101",572,1150.0644,0.247043
201,"1709","00042","201101",245,468.5598,0.006819
203,"2200","00017","201101",904,1418.1676,0.003527
204,"2703","00021","201101",198,278.2169,0.024763
205,"2803","00041","201101",163,251.5935,0.028878
206,"3006","00042","201101",817,1454.0732,0.012438
207,"3203","00041","201101",599,1084.4022,0.157411
208,"2803","00042","201101",681,1177.718,0.023719
209,"1722","00042","201101",436,857.6231,0.167634
210,"2703","00049","201101",577,710.8928,0.115481
211,"1732","00049","201101",357,431.3111,0.168085
212,"3203","00049","201101",934,1198.0686,0.201985
213,"2904","00042","201101",477,788.9334,0.001595
215,"3203","00042","201101",1389,2711.1296,0.146575
216,"0613","00042","201101",136,271.1137,0.012477
217,"0402","00049","201101",275,283.1911,0.024728
218,"0604","00049","201101",851,974.3971,0.043986
219,"2702","00049","201101",439,340.4162,0.02093
220,"7901","00049","201101",1730,1821.0799,0.161899
221,"1803","00042","201101",463,804.289,0.017219
222,"2201","00017","201101",198,285.4189,0.00705
223,"3207","00029","201101",275,285.8162,0.014793
224,"0103","00042","201101",399,655.7036,0.0027
226,"1713","00049","201101",302,348.8582,0.041167
227,"0608","00042","201101",286,490.1661,0.002561
228,"1731","00049","201101",357,464.962,0.194335
229,"2202","00017","201101",1074,1065.564,-0.042221
230,"1600","00042","201101",136,221.4095,7.1e-05
231,"1805","00049","201101",220,291.6265,0.015194
232,"7002","00049","201101",192,168.1539,0.012336
233,"2903","00049","201101",137,132.1433,0.015663
234,"3604","00029","201101",985,857.4789,0.039074
235,"1207","00042","201101",960,1750.039,0.017896
236,"3603","00029","201101",206,214.3583,0.038373
237,"0503","00042","201101",163,314.4919,0.015825
239,"0612","00049","201101",165,175.8797,0.018887
240,"3703","00049","201101",741,950.505,0.160113
241,"0901","00029","201101",481,417.1256,0.039783
242,"1727","00042","201101",300,538.959,0.059221
243,"1727","00049","201101",165,213.2519,0.125901
244,"6019","00049","201101",302,277.0452,0.023384
245,"7403","00049","201101",330,422.8433,0.071287
246,"6016","00049","201101",137,132.1433,0.012168
247,"3700","00049","201101",165,215.4391,0.010674
248,"0200","00049","201101",275,264.2865,0.009056
249,"8301","00049","201101",549,552.5894,0.047175
251,"8001","00042","201101",136,210.981,0.005506
252,"6901","00049","201101",302,308.2821,0.026667
253,"1715","00042","201101",150,273.8249,0.007695
254,"1715","00579","201101",124,162.3995,0.021046
255,"3600","00049","201101",220,281.4196,0.013695
256,"3600","00050","201101",220,281.4196,0.013339
257,"3307","00049","201101",165,174.9759,0.006946
258,"3201","00029","201101",183,127.2918,0.009927
259,"1719","00042","201101",327,628.1253,0.024374
260,"7519","00049","201101",467,449.2871,0.04137
262,"2406","00042","201101",136,197.0093,-0.002257
263,"3307","00019","201101",340,425.1795,0.012864
264,"2006","00049","201101",686,899.4856,0.046349
265,"2803","00049","201101",357,426.5038,0.067162
266,"1715","00050","201101",137,177.7099,0.022855
267,"0037","00029","201101",158,157.1997,0.066415
268,"2101","00049","201101",165,139.1011,0.009742
269,"1101","00029","201101",206,155.3205,0.013172
270,"7703","00042","201101",681,1203.7449,0.031993
271,"7900","00049","201101",824,887.6382,0.035904
272,"0106","00042","201101",309,538.8611,0.003701
274,"1734","00019","201101",128,194.5248,0.06837
275,"1741","00049","201101",3397,4648.1342,0.046051
276,"7200","00049","201101",165,212.1583,0.010372
277,"0900","00029","201101",275,274.5806,0.013758
278,"7703","00029","201101",137,142.9081,0.025585
279,"3800","00049","201101",165,212.1583,0.010372
280,"2406","00049","201101",165,211.0647,0.010664
281,"3407","00049","201101",632,766.4158,0.035442
282,"3300","00042","201101",1008,1869.6002,0.021789
283,"3300","00041","201101",490,873.3477,0.035953
285,"2803","00022","201101",226,262.6236,0.013709
286,"0013","00042","201101",150,329.3956,0.02143
287,"7502","00049","201101",412,510.6243,0.051285
288,"3402","00049","201101",220,226.5529,0.019781
289,"3001","00042","201101",163,253.1772,0.006608
290,"0612","00019","201101",128,160.8563,0.013316
291,"1000","00049","201101",439,538.9243,0.025186
292,"3301","00019","201101",142,234.7571,0.023079
293,"1719","00049","201101",522,639.7329,0.080311
294,"3902","00042","201101",300,476.5261,0.014156
295,"1725","00049","201101",330,426.8607,0.252193
296,"2200","00022","201101",170,393.9355,0.021234
298,"7501","00049","201101",137,212.7601,0.024132
299,"3207","00042","201101",1089,1588.3649,-0.016262
300,"1403","00019","201101",170,272.0447,0.04133
301,"3306","00019","201101",439,584.1545,0.020616
302,"5100","00049","201101",165,158.5719,0.005434
303,"1700","00042","201101",218,438.1198,0.007828
304,"3006","00041","201101",136,284.6694,0.014386
305,"2701","00042","201101",327,379.7659,-0.00768
306,"3107","00049","201101",165,190.2863,0.008356
307,"1733","00019","201101",128,219.2725,0.08781
308,"1200","00049","201101",467,574.6789,0.026952
310,"0611","00042","201101",545,965.1648,0.020424
311,"2802","00049","201101",494,500.0597,0.042909
312,"8605","00049","201101",549,656.1597,0.025691
313,"3801","00042","201101",205,253.1772,-0.00243
314,"2702","00029","201101",183,115.0522,0.007902
315,"8605","00050","201101",192,196.8479,0.005795
316,"1205","00049","201101",686,763.2565,0.033315
317,"1300","00049","201101",192,228.38,0.010338
318,"1726","00049","201101",439,568.6717,0.335737
319,"0042","00049","201101",1853,1859.2403,0.012498
321,"3901","00049","201101",384,397.6413,0.034813
322,"3002","00042","201101",542,725.5929,0.002981
323,"3002","00049","201101",1208,936.1446,0.057556
324,"3002","00050","201101",165,127.6561,0.007463
325,"3002","00688","201101",191,244.447,0.005895
326,"2400","00049","201101",494,634.2725,0.030914
327,"2005","00042","201101",129,241.5548,0.003051
328,"2701","00036","201101",206,173.8764,-0.006134
329,"2701","00049","201101",494,425.5141,0.030581
330,"3202","00029","201101",366,235.0003,0.016614
331,"5102","01093","201101",220,111.6252,0.001177
333,"1708","00042","201101",681,1337.8558,0.022411
334,"6010","00049","201101",220,287.2521,0.014234
335,"1714","00042","201101",558,964.6226,0.014832
336,"3207","01093","201101",229,144.4361,0.000849
337,"1717","01105","201101",186,358.1713,-0.000351
338,"1732","00042","201101",427,708.149,0.013101
339,"3004","00033","201101",154,491.4099,0.004068
340,"0614","00049","201101",165,158.5719,0.014601
341,"7509","00049","201101",549,667.0957,0.032057
342,"0607","01210","201101",136,375.6828,0.010989
344,"3406","01263","201101",218,481.9724,0.020342
345,"3101","01210","201101",148,329.6633,0.017271
346,"3005","00029","201101",229,179.4048,0.007172
347,"3005","00049","201101",769,874.1505,0.03916
348,"5501","01210","201101",123,280.2185,0.015323
349,"8100","00042","201101",270,16.1313,-0.038774
350,"6002","00049","201101",659,557.083,0.039077
351,"6001","01093","201101",165,88.1251,0.001642
352,"3000","00042","201101",538,982.7571,0.010232
353,"2003","00042","201101",272,523.7013,0.026227
354,"2003","00049","201101",275,317.1439,0.048177
355,"5701","01093","201101",165,88.1251,0.001642
357,"3000","00041","201101",136,262.0766,0.011779
358,"7520","00049","201101",330,500.8686,0.0278
359,"7204","00049","201101",330,384.2028,0.017698
360,"1728","00042","201101",184,292.7275,-0.005682
361,"1501","01092","201101",172,344,-0.014114
362,"3604","01093","201101",458,288.8721,0.001762
363,"0039","00049","201101",137,174.0646,0.071024
364,"2200","00033","201101",197,1113.8624,0.048634
365,"3101","00049","201101",330,255.3122,0.015697
366,"3501","00049","201101",384,324.5692,0.022729
367,"1403","00029","201101",275,208.6417,0.026561
369,"1303","00049","201101",522,628.5463,0.099818
370,"7401","00049","201101",330,340.404,0.029768
371,"2004","00049","201101",192,265.3801,0.014272
372,"0055","00049","201101",5558,5773.906,0.073235
373,"3307","00688","201101",136,180.7425,-0.000411
374,"1310","00029","201101",504,493.0515,0.024266
375,"0034","00042","201101",408,732.007,0.054568
376,"0034","00049","201101",330,405.7254,0.161067
377,"4911","00049","201101",330,330.8138,0.032588
378,"0034","00034","201101",148,501.2381,0.072921
380,"2402","00049","201101",467,481.4248,0.042038
381,"0034","00033","201101",197,668.3174,0.072379
382,"1309","00049","201101",330,430.8782,0.022163
383,"0403","00029","201101",172,168.1312,0.02863
384,"9208","00049","201101",549,634.2877,0.028918
385,"0613","00049","201101",137,192.2912,0.027064
386,"1800","00049","201101",632,821.84,0.04055
387,"7903","00049","201101",412,534.5803,0.091032
388,"0052","00049","201101",6176,7689.2775,0.118546
389,"6011","00049","201101",439,507.4302,0.05988
390,"5403","00049","201101",1318,1386.1298,0.187841
392,"3201","01467","201101",259,428.4855,0.028191
393,"4401","00042","201101",191,265.8361,0.002833
394,"3304","00041","201101",204,379.5592,0.017049
395,"2802","00034","201101",123,329.6688,0.009307
396,"4301","00049","201101",275,212.7601,0.013081
397,"5803","00049","201101",165,164.0399,0.020539
398,"2803","00034","201101",247,859.9605,0.057316
399,"3006","00033","201101",148,560.2073,0.012166
400,"3407","00050","201101",137,132.1433,0.004306
401,"0808","00042","201101",436,876.2395,0.016255
403,"2201","00033","201101",259,1120.8684,0.083154
404,"1806","00049","201101",632,1095.0576,0.068238
405,"2805","00042","201101",354,563.9165,-0.000931
406,"2201","00049","201101",549,731.8887,0.076824
407,"1601","01093","201101",229,116.2762,0.001226
408,"3901","00029","201101",229,156.6669,0.012004
409,"0615","00029","201101",252,143.2046,0.00701
410,"3301","00034","201101",374,1057.5775,0.037526
411,"3205","00049","201101",522,634.2725,0.030504
412,"3301","00033","201101",197,527.4701,0.01065
413,"8404","00029","201101",412,399.5558,0.017008
414,"8404","00049","201101",824,984.2395,0.038536
416,"1205","00042","201101",245,424.5641,0.002617
417,"0802","00049","201101",549,565.355,0.049286
418,"1900","00042","201101",694,1359.6353,0.021561
419,"3901","00042","201101",327,506.3545,0.013215
420,"1204","00049","201101",192,215.6441,0.009512
421,"1806","00042","201101",163,433.7819,0.016142
422,"3008","00042","201101",513,794.6569,-0.003479
423,"1716","00042","201101",177,287.3805,0.000139
424,"7101","00049","201101",275,280.2564,0.024242
425,"3302","00049","201101",330,255.3122,0.015697
426,"7006","00049","201101",165,208.8775,0.010455
428,"1203","00019","201101",142,186.6309,0.021579
429,"5601","00049","201101",549,567.342,0.049613
430,"3007","00042","201101",136,262.0766,0.003812
431,"2805","00049","201101",165,190.2863,0.008675
432,"0700","00042","201101",245,471.7379,0.006862
433,"0014","00042","201101",218,433.7819,0.019965
434,"3101","00042","201101",136,163.6922,-0.0023
435,"1601","00049","201101",137,146.7311,0.013213
436,"0052","00029","201101",3220,3122.1783,0.049503
437,"1202","00019","201101",128,150.2383,0.01061
439,"1200","00042","201101",191,341.6033,0.003009
440,"2407","00042","201101",163,292.8028,0.00258
441,"3103","00049","201101",165,253.7151,0.049126
442,"2600","00049","201101",494,792.8368,0.045527
443,"7100","00021","201101",236,265.7501,0.002453
444,"7402","00049","201101",247,170.2081,0.008255
445,"2802","00029","201101",172,138.0627,0.012404
446,"3701","00019","201101",283,313.5144,0.02019
447,"1207","00033","201101",148,556.9244,0.011424
448,"3202","00021","201101",170,102.6841,-0.005991
449,"1407","00042","201101",245,442.4576,0.004168
451,"0602","00049","201101",906,744.367,0.050156
452,"3500","00049","201101",192,225.8283,0.010101
453,"5501","00033","201101",247,778.0183,0.032468
454,"3102","00049","201101",165,127.6561,0.007849
455,"2801","00033","201101",107,263.7295,0.00222
456,"3207","00041","201101",327,488.0047,0.0153
457,"0807","00042","201101",245,488.0047,0.008358
458,"3201","00033","201101",345,1032.9512,0.036373
459,"8505","00049","201101",165,211.4216,0.008983
460,"3604","00033","201101",111,417.6916,0.008894
462,"3702","00049","201101",247,229.7809,0.018107
463,"5402","00049","201101",275,212.7601,0.013081
464,"2805","00029","201101",183,199.4738,0.011092
465,"7509","00029","201101",137,115.8529,0.00509
466,"7602","00049","201101",384,425.5141,0.039421
467,"3901","01092","201101",183,366,-0.015055
468,"3901","01097","201101",183,230.1045,0.026931
469,"2201","00035","201101",123,560.4369,0.044448
470,"1405","00042","201101",545,795.2669,-0.008338
471,"2202","00033","201101",241,672.5133,0.017767
472,"0107","00049","201101",137,175.8873,0.00856
473,"1802","00049","201101",220,246.5083,0.023082
475,"3602","00049","201101",494,510.6121,0.044653
476,"0405","00049","201101",137,177.7099,0.00906
477,"2202","01340","201101",137,134.6295,0.001433
478,"1740","00049","201101",3088,3464.3934,0.013928
479,"1739","00049","201101",247,285.4295,0.106096
480,"0602","00022","201101",170,158.5661,0.004293
481,"1105","00049","201101",302,401.7155,0.020961
482,"0602","00017","201101",226,190.8833,-0.014453
483,"7708","00042","201101",163,390.4038,0.012
484,"3201","00688","201101",123,155.1863,0.003465
485,"5401","01040","201101",275,277.3218,0.01028
487,"7300","00029","201101",275,285.8162,0.014792
488,"2801","00034","201101",181,461.5308,0.010102
489,"3303","00029","201101",275,285.8162,0.051167
490,"3401","00029","201101",137,115.0461,0.010684
491,"4905","00049","201101",275,268.8432,0.009838
492,"3203","00034","201101",123,464.1025,0.039278
493,"7521","00049","201101",165,211.0647,0.123482
494,"0611","00019","201101",170,174.9665,0.007904
495,"3204","00041","201101",163,314.4919,0.014674
496,"2802","00042","201101",163,251.4312,0.00632
498,"4903","00041","201101",272,553.072,0.090694
499,"0106","00049","201101",165,195.7543,0.009198
500,"1205","00033","201101",148,417.6984,-0.001143
501,"2800","00042","201101",245,424.5641,0.002521
502,"1302","00042","201101",300,398.0873,0.001207
503,"3304","00042","201101",123,227.7355,0.002785
504,"0616","00049","201101",275,308.0305,0.035169
505,"0012","00049","201101",165,211.4216,0.027689
506,"3300","00029","201101",183,228.6651,0.013375
507,"3207","00019","201101",128,155.5022,0.004458
508,"4101","00042","201101",136,210.981,0.005506
510,"8300","00049","201101",549,718.1303,0.035582
511,"1206","00042","201101",327,541.6852,0.00116
512,"2802","00033","201101",123,329.6688,0.006656
513,"3004","00049","201101",494,475.7158,0.016923
514,"1400","00042","201101",204,353.8034,0.002102
515,"7512","00049","201101",220,211.4292,0.019468
516,"0803","00049","201101",302,412.287,0.073214
517,"0033","00049","201101",220,211.4292,0.061319
518,"8605","00041","201101",123,195.2019,0.005526
519,"3203","00033","201101",296,982.8197,0.038257
521,"1709","00019","201101",198,237.0514,0.006734
522,"5700","00049","201101",220,233.3012,0.009261
523,"8404","00050","201101",330,393.6958,0.01486
524,"1724","00049","201101",275,355.4198,0.209835
525,"1700","01093","201101",366,193.0882,-0.002294
526,"3300","01040","201101",220,342.6612,0.012137
527,"5700","01093","201101",275,155.0787,-0.000734
528,"2803","01210","201101",123,307.1312,0.023338
529,"5001","00041","201101",150,208.8712,0.014886
530,"4906","00042","201101",163,244.0023,-0.001983
531,"2701","00041","201101",218,253.1772,0.013292
532,"2000","00042","201101",157,304.1821,0.004641
534,"1309","00042","201101",163,331.8432,0.006407
535,"6016","00041","201101",204,295.514,0.023353
536,"6016","00042","201101",204,295.514,-0.008762
537,"3207","00014","201101",128,208.1725,0.00788
538,"1737","00042","201101",136,244.0023,0.018189
539,"0034","00029","201101",330,308.6979,0.123484
540,"6016","00694","201101",137,189.5572,0.025879
541,"6031","00049","201101",220,287.2521,0.120468
542,"3804","01093","201101",229,144.4361,0.000881
543,"8503","00049","201101",165,211.4216,0.02993
544,"6016","01105","201101",340,564.8202,-0.024068
546,"3100","01093","201101",229,144.4361,0.000849
547,"3401","01093","201101",229,116.2762,0.001226
548,"2901","00049","201101",137,106.3801,0.00654
549,"1203","00033","201101",105,378.7132,0.023079
550,"4903","00049","201101",165,158.5719,0.018796
551,"9205","00049","201101",192,158.5643,0.004052
552,"3007","00041","201101",123,235.8689,0.010601
553,"1718","00041","201101",116,202.4316,0.021879
554,"3205","01210","201101",148,393.1279,0.01081
555,"1100","00029","201101",573,603.5907,0.031567
557,"3804","00029","201101",165,158.7276,0.007993
558,"3203","00017","201101",170,236.3613,-0.007188
559,"2701","00017","201101",170,190.2793,-0.003001
560,"5400","00049","201101",330,317.1439,0.010867
561,"2006","00029","201101",137,121.4707,0.005627
562,"3203","00019","201101",170,233.2808,0.028888
563,"7700","00042","201101",272,488.0047,0.004298
564,"2801","00035","201101",107,263.7295,0.002691
565,"3307","00041","201101",163,259.1847,0.009047
566,"3406","01105","201101",218,481.9724,0.005556
567,"1703","01093","201101",124,85.3845,0.004039
569,"9208","00029","201101",412,385.8723,0.018934
570,"0605","00049","201101",165,158.5719,0.005641
571,"3308","00034","201101",123,450.4591,0.010514
572,"3604","00042","201101",218,325.3365,-0.002644
573,"3803","00042","201101",245,471.7379,0.023735
574,"0035","00042","201101",191,292.7878,-0.012542
575,"3602","00041","201101",381,590.7469,0.04764
576,"3604","00688","201101",163,216.891,-0.000511
577,"0600","01210","201101",111,307.3769,0.008992
578,"3301","01210","201101",296,601.3159,0.024728
580,"4001","01093","201101",229,116.2762,0.001226
581,"1205","00021","201101",265,318.8923,0.004783
582,"1102","00029","201101",124,103.5409,0.009614
583,"8605","00019","201101",425,541.8317,0.013433
584,"1101","01210","201101",494,1549.4433,0.133811
585,"3407","01210","201101",185,511.8716,0.014946
586,"0802","01210","201101",148,395.6025,0.028429
587,"1721","01093","201101",137,94.8717,0.015613
588,"6019","01093","201101",275,155.0787,-0.001973
589,"3201","01210","201101",259,536.2283,0.02334
590,"0503","00019","201101",170,233.6649,0.02901
591,"1803","00019","201101",142,192.8394,0.023572
593,"1739","00019","201101",283,349.933,0.087284
594,"7707","00017","201101",268,237.1038,-0.016005
595,"1745","00019","201101",1912,2094.5548,0.01272
596,"0604","00019","201101",149,194.7129,0.00668
597,"3308","00041","201101",168,325.3289,0.015283
598,"7608","00049","201101",137,158.5719,0.007229
599,"1800","00019","201101",198,276.5599,0.010152
600,"3300","00033","201101",197,655.2132,0.007373
601,"4200","00049","201101",192,247.518,0.012101
602,"0046","00042","201101",2143,3871.8954,0.017461
603,"3204","00029","201101",137,142.9081,0.007679
605,"7514","00049","201101",824,1000.6435,0.124465
606,"6006","00042","201101",245,455.471,0.00557
607,"3003","01093","201101",137,71.1538,-0.003393
608,"2800","00041","201101",163,283.0427,0.011243
609,"3308","00019","201101",340,466.5616,0.017339
610,"3308","00014","201101",170,312.2979,0.014254
611,"6016","00688","201101",654,867.5639,-0.005297
612,"6016","01467","201101",136,203.3353,0.008618
613,"2202","00021","201101",226,205.3808,0.003403
614,"6016","01205","201101",141,271.0651,0.022942
616,"7501","00042","201101",218,345.7179,0.010156
617,"7501","00041","201101",218,345.7179,0.028568
618,"7404","00042","201101",136,260.2692,0.003785
619,"7404","00019","201101",142,186.2546,0.00644
620,"0808","01093","201101",229,144.4361,0.000881
621,"3302","01210","201101",148,329.6633,0.017271
622,"5103","00022","201101",188,218.853,0.011424
623,"1201","00041","201101",136,222.6214,0.018936
624,"3007","00029","201101",229,179.4048,0.006909
625,"1501","00042","201101",129,171.6889,0.000487
626,"2003","00017","201101",170,255.4953,-0.001052
628,"2901","01093","201101",117,42.8325,-0.002214
629,"3401","00803","201101",170,344.3149,0.015779
